"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2021","129.12","126.83","129.75","126.75","11.36M","1.25%"
"Mar 04, 2021","127.53","127.86","129.58","126.28","15.12M","-0.05%"
"Mar 03, 2021","127.59","129.50","129.93","127.55","13.95M","-1.94%"
"Mar 02, 2021","130.11","131.51","132.75","130.01","9.74M","-0.96%"
"Mar 01, 2021","131.37","131.58","132.57","131.13","11.54M","1.12%"
"Feb 26, 2021","129.92","131.48","131.81","129.86","14.16M","-1.54%"
"Feb 25, 2021","131.95","133.10","134.01","131.48","11.11M","-0.95%"
"Feb 24, 2021","133.21","135.87","136.16","133.05","15.52M","-1.67%"
"Feb 23, 2021","135.47","137.11","137.39","135.06","10.43M","-1.61%"
"Feb 22, 2021","137.69","137.74","138.34","136.25","10.70M","-0.47%"
"Feb 19, 2021","138.34","137.80","139.42","137.67","12.20M","0.49%"
"Feb 18, 2021","137.66","139.00","140.70","137.50","32.31M","-6.48%"
"Feb 17, 2021","147.20","144.65","147.50","144.50","8.68M","1.06%"
"Feb 16, 2021","145.66","145.94","146.39","144.93","9.30M","0.82%"
"Feb 12, 2021","144.47","144.16","144.61","143.67","4.47M","0.31%"
"Feb 11, 2021","144.02","144.14","144.95","143.71","4.26M","-0.08%"
"Feb 10, 2021","144.13","145.83","145.90","143.54","6.19M","-1.17%"
"Feb 09, 2021","145.83","144.58","146.32","144.58","5.30M","0.55%"
"Feb 08, 2021","145.03","144.81","145.58","144.46","5.28M","0.46%"
"Feb 05, 2021","144.36","143.46","144.85","142.53","6.82M","1.28%"
"Feb 04, 2021","142.53","141.79","143.18","141.26","5.78M","0.94%"
"Feb 03, 2021","141.20","140.66","142.05","140.63","4.99M","0.31%"
"Feb 02, 2021","140.77","139.76","142.15","139.44","9.00M","1.08%"
"Feb 01, 2021","139.27","140.91","141.49","139.19","8.65M","-0.87%"
"Jan 29, 2021","140.49","143.18","143.75","140.35","10.84M","-2.27%"
"Jan 28, 2021","143.75","144.46","146.26","143.63","7.43M","-0.06%"
"Jan 27, 2021","143.84","146.96","147.86","143.55","9.97M","-2.49%"
"Jan 26, 2021","147.51","145.63","147.81","145.47","5.01M","0.90%"
"Jan 25, 2021","146.20","145.36","146.25","144.27","6.34M","-0.09%"
"Jan 22, 2021","146.33","145.60","147.34","145.12","6.41M","1.02%"
"Jan 21, 2021","144.85","145.36","145.73","144.21","4.78M","-0.45%"
"Jan 20, 2021","145.51","143.59","145.66","142.89","7.93M","1.48%"
"Jan 19, 2021","143.39","144.64","145.07","142.67","8.04M","-0.86%"
"Jan 15, 2021","144.64","145.14","145.90","143.67","11.97M","-1.59%"
"Jan 14, 2021","146.97","147.82","148.00","146.04","7.67M","-0.33%"
"Jan 13, 2021","147.45","148.75","149.07","147.43","5.36M","-1.02%"
"Jan 12, 2021","148.97","149.00","149.93","148.32","7.79M","1.14%"
"Jan 11, 2021","147.29","146.00","147.99","146.00","8.78M","0.45%"
"Jan 08, 2021","146.63","146.88","147.00","145.81","8.16M","-0.01%"
"Jan 07, 2021","146.65","147.62","147.76","146.04","6.85M","-0.01%"
"Jan 06, 2021","146.66","145.09","148.10","145.01","7.31M","0.62%"
"Jan 05, 2021","145.75","146.60","147.07","144.49","8.83M","-0.53%"
"Jan 04, 2021","146.53","144.30","146.89","144.28","10.73M","1.65%"
"Dec 31, 2020","144.15","144.20","144.27","142.85","5.94M","-0.02%"
"Dec 30, 2020","144.18","144.88","145.15","143.94","6.25M","-0.08%"
"Dec 29, 2020","144.30","145.64","145.85","143.59","5.98M","-0.63%"
"Dec 28, 2020","145.22","144.04","145.30","143.33","6.45M","1.20%"
"Dec 24, 2020","143.50","143.54","144.39","143.18","3.02M","0.20%"
"Dec 23, 2020","143.22","143.54","144.22","142.30","6.81M","-0.68%"
"Dec 22, 2020","144.20","145.15","146.23","143.14","12.55M","-1.21%"
"Dec 21, 2020","145.97","145.50","146.67","145.06","8.52M","0.01%"
"Dec 18, 2020","145.95","146.62","147.18","145.16","13.79M","-0.10%"
"Dec 17, 2020","146.10","146.06","146.44","145.15","10.23M","0.46%"
"Dec 16, 2020","145.43","146.24","146.89","145.08","8.55M","-0.10%"
"Dec 15, 2020","145.58","145.52","146.36","144.86","10.63M","-0.05%"
"Dec 14, 2020","145.65","147.70","147.72","145.40","8.36M","-0.92%"
"Dec 11, 2020","147.00","146.92","147.51","145.94","5.62M","-0.03%"
"Dec 10, 2020","147.04","147.75","148.15","146.57","6.88M","-0.83%"
"Dec 09, 2020","148.27","150.00","150.00","147.89","6.71M","-0.79%"
"Dec 08, 2020","149.45","147.36","149.85","147.18","6.91M","0.90%"
"Dec 07, 2020","148.11","148.46","148.99","147.16","6.16M","-0.54%"
"Dec 04, 2020","148.91","149.51","149.51","147.58","6.96M","-0.26%"
"Dec 03, 2020","149.30","150.28","150.28","148.39","8.58M","-0.81%"
"Dec 02, 2020","150.52","152.00","152.62","149.53","7.85M","-1.39%"
"Dec 01, 2020","152.64","153.60","153.66","151.66","7.65M","-0.10%"
"Nov 30, 2020","152.79","151.60","152.95","150.10","10.90M","0.78%"
"Nov 27, 2020","151.60","152.15","152.72","151.10","3.67M","-0.15%"
"Nov 25, 2020","151.83","151.25","152.39","151.21","4.61M","0.31%"
"Nov 24, 2020","151.36","151.74","151.98","150.27","5.72M","0.28%"
"Nov 23, 2020","150.93","150.37","151.40","149.37","6.19M","0.46%"
"Nov 20, 2020","150.24","151.17","152.76","149.81","7.32M","-1.24%"
"Nov 19, 2020","152.12","149.46","152.45","149.32","6.20M","2.03%"
"Nov 18, 2020","149.09","149.86","151.67","149.05","8.31M","-0.19%"
"Nov 17, 2020","149.37","150.50","153.24","149.18","14.24M","-2.01%"
"Nov 16, 2020","152.44","150.53","153.40","149.28","11.52M","1.26%"
"Nov 13, 2020","150.54","148.94","150.93","147.52","6.60M","1.56%"
"Nov 12, 2020","148.23","148.48","148.71","147.10","4.19M","0.17%"
"Nov 11, 2020","147.98","146.92","148.96","146.40","6.27M","1.66%"
"Nov 10, 2020","145.56","143.75","146.44","143.53","6.07M","1.41%"
"Nov 09, 2020","143.54","148.00","148.20","143.48","9.40M","-1.53%"
"Nov 06, 2020","145.77","144.36","146.22","143.55","5.40M","1.60%"
"Nov 05, 2020","143.47","144.00","144.23","142.94","4.73M","1.06%"
"Nov 04, 2020","141.96","141.57","144.39","141.34","5.98M","-0.57%"
"Nov 03, 2020","142.78","141.65","144.16","141.57","5.14M","1.70%"
"Nov 02, 2020","140.40","140.59","140.81","139.03","5.53M","1.19%"
"Oct 30, 2020","138.75","139.18","140.09","137.37","6.20M","-0.84%"
"Oct 29, 2020","139.92","140.00","141.11","138.70","5.05M","-0.09%"
"Oct 28, 2020","140.04","140.96","142.13","139.88","5.62M","-1.98%"
"Oct 27, 2020","142.87","142.05","143.70","141.97","3.94M","0.50%"
"Oct 26, 2020","142.16","142.84","143.12","140.94","5.37M","-1.17%"
"Oct 23, 2020","143.85","143.97","144.14","142.85","3.51M","0.21%"
"Oct 22, 2020","143.55","144.19","144.56","142.69","4.45M","-0.59%"
"Oct 21, 2020","144.40","143.84","145.73","143.84","4.37M","0.35%"
"Oct 20, 2020","143.90","144.11","145.53","143.62","4.84M","0.66%"
"Oct 19, 2020","142.95","145.10","145.37","142.75","4.88M","-1.22%"
"Oct 16, 2020","144.71","145.40","146.15","144.47","5.65M","0.12%"
"Oct 15, 2020","144.53","143.09","144.96","142.84","4.57M","0.41%"
"Oct 14, 2020","143.94","146.40","146.52","143.76","6.57M","-1.57%"
"Oct 13, 2020","146.23","144.68","146.60","144.36","7.93M","1.37%"
"Oct 12, 2020","144.25","143.02","145.39","143.02","6.13M","1.03%"
"Oct 09, 2020","142.78","141.66","143.34","141.56","4.83M","1.00%"
"Oct 08, 2020","141.36","141.51","142.09","141.12","4.89M","0.33%"
"Oct 07, 2020","140.89","141.26","141.55","140.25","5.65M","0.18%"
"Oct 06, 2020","140.63","141.87","142.94","140.25","7.16M","-0.83%"
"Oct 05, 2020","141.80","141.29","142.19","141.07","4.75M","0.93%"
"Oct 02, 2020","140.50","142.34","143.10","140.13","8.19M","-1.80%"
"Oct 01, 2020","143.08","140.80","144.38","140.26","14.43M","2.27%"
"Sep 30, 2020","139.91","137.39","141.74","137.20","11.61M","2.02%"
"Sep 29, 2020","137.14","137.25","138.14","136.39","9.24M","-0.08%"
"Sep 28, 2020","137.25","137.16","138.05","136.72","7.07M","-0.01%"
"Sep 25, 2020","137.27","136.52","137.54","135.96","7.54M","0.42%"
"Sep 24, 2020","136.70","135.73","137.79","135.07","9.82M","0.52%"
"Sep 23, 2020","135.99","139.00","139.24","135.82","7.71M","-1.68%"
"Sep 22, 2020","138.31","137.07","138.99","136.57","11.03M","0.90%"
"Sep 21, 2020","137.07","136.50","137.24","135.29","15.76M","1.32%"
"Sep 18, 2020","135.29","136.44","137.53","134.75","18.24M","-1.02%"
"Sep 17, 2020","136.69","135.43","137.57","135.02","12.42M","0.32%"
"Sep 16, 2020","136.26","138.41","138.68","136.05","9.29M","-0.80%"
"Sep 15, 2020","137.36","138.23","139.08","136.68","10.14M","0.03%"
"Sep 14, 2020","137.32","136.14","141.10","135.88","15.24M","0.45%"
"Sep 11, 2020","136.70","137.05","138.44","135.55","9.63M","-0.08%"
"Sep 10, 2020","136.81","140.06","140.54","136.59","11.24M","-2.20%"
"Sep 09, 2020","139.89","140.09","142.61","139.45","11.22M","1.04%"
"Sep 08, 2020","138.45","141.41","141.90","138.26","11.32M","-3.07%"
"Sep 04, 2020","142.83","144.02","145.04","140.10","11.33M","-1.18%"
"Sep 03, 2020","144.54","146.70","149.60","141.81","16.01M","-2.13%"
"Sep 02, 2020","147.68","151.25","151.33","145.61","17.22M","0.06%"
"Sep 01, 2020","147.59","141.20","149.59","140.05","35.71M","6.29%"
"Aug 31, 2020","138.85","137.48","138.89","135.53","15.08M","-1.03%"
"Aug 28, 2020","140.30","141.00","141.07","137.84","21.35M","2.69%"
"Aug 27, 2020","136.63","131.08","139.35","130.90","39.67M","4.54%"
"Aug 26, 2020","130.70","130.21","130.88","129.70","6.27M","0.05%"
"Aug 25, 2020","130.63","130.80","131.24","129.67","7.24M","-0.53%"
"Aug 24, 2020","131.33","132.25","132.48","130.33","6.60M","-0.23%"
"Aug 21, 2020","131.63","130.55","132.67","130.10","8.29M","0.81%"
"Aug 20, 2020","130.57","131.21","132.07","130.05","8.94M","-1.39%"
"Aug 19, 2020","132.41","134.21","134.66","131.85","12.72M","-1.71%"
"Aug 18, 2020","134.71","136.17","137.63","133.17","26.74M","-0.66%"
"Aug 17, 2020","135.60","134.35","136.13","133.85","13.15M","2.26%"
"Aug 14, 2020","132.60","132.34","132.97","131.63","6.70M","0.57%"
"Aug 13, 2020","131.85","131.21","131.96","130.73","6.62M","-0.03%"
"Aug 12, 2020","131.89","130.47","132.23","129.08","6.37M","1.30%"
"Aug 11, 2020","130.20","132.59","132.87","129.73","8.45M","-1.27%"
"Aug 10, 2020","131.88","130.24","132.34","129.65","5.89M","1.47%"
"Aug 07, 2020","129.97","129.58","130.46","129.11","5.52M","0.48%"
"Aug 06, 2020","129.35","129.13","130.23","129.03","4.83M","-0.35%"
"Aug 05, 2020","129.81","130.45","130.75","128.83","8.50M","-1.39%"
"Aug 04, 2020","131.64","129.65","131.71","128.94","6.07M","1.81%"
"Aug 03, 2020","129.30","129.91","130.12","128.27","4.99M","-0.08%"
"Jul 31, 2020","129.40","129.65","130.09","127.62","7.21M","-0.55%"
"Jul 30, 2020","130.12","129.42","130.42","128.72","4.60M","-0.44%"
"Jul 29, 2020","130.69","131.56","131.86","129.85","4.74M","-0.81%"
"Jul 28, 2020","131.76","131.50","132.38","130.92","4.80M","0.42%"
"Jul 27, 2020","131.21","130.86","131.98","130.86","4.68M","-0.02%"
"Jul 24, 2020","131.24","130.95","132.40","130.51","4.35M","-0.30%"
"Jul 23, 2020","131.64","133.00","133.15","131.31","5.60M","-0.77%"
"Jul 22, 2020","132.66","132.57","133.03","131.19","5.39M","0.25%"
"Jul 21, 2020","132.33","131.56","133.99","131.45","7.24M","0.65%"
"Jul 20, 2020","131.47","131.96","132.74","131.14","6.11M","-0.20%"
"Jul 17, 2020","131.74","133.37","133.37","131.47","6.06M","-0.35%"
"Jul 16, 2020","132.20","132.05","132.73","131.24","5.89M","0.15%"
"Jul 15, 2020","132.00","132.27","134.13","130.80","10.58M","-0.01%"
"Jul 14, 2020","132.01","129.28","132.50","129.03","8.82M","1.92%"
"Jul 13, 2020","129.52","131.33","133.63","128.89","14.11M","-0.89%"
"Jul 10, 2020","130.68","128.74","131.37","127.26","14.75M","2.29%"
"Jul 09, 2020","127.75","125.61","128.18","124.95","14.26M","2.66%"
"Jul 08, 2020","124.44","128.00","128.13","124.40","17.41M","-1.98%"
"Jul 07, 2020","126.95","118.45","127.55","118.22","31.15M","6.78%"
"Jul 06, 2020","118.89","119.80","119.87","118.22","7.23M","-0.27%"
"Jul 02, 2020","119.21","120.09","120.88","118.86","5.90M","-0.40%"
"Jul 01, 2020","119.69","119.45","119.92","118.66","6.58M","-0.08%"
"Jun 30, 2020","119.78","119.22","120.13","118.54","6.84M","0.60%"
"Jun 29, 2020","119.06","118.50","119.68","118.22","5.50M","0.63%"
"Jun 26, 2020","118.32","119.60","120.84","118.02","9.00M","-1.16%"
"Jun 25, 2020","119.71","119.76","120.16","118.38","6.86M","-0.49%"
"Jun 24, 2020","120.30","120.74","121.12","119.58","6.87M","-0.64%"
"Jun 23, 2020","121.07","122.75","122.85","120.96","6.58M","-0.50%"
"Jun 22, 2020","121.68","120.97","122.09","120.40","9.11M","1.53%"
"Jun 19, 2020","119.85","118.89","120.30","117.75","13.34M","1.58%"
"Jun 18, 2020","117.99","118.54","119.06","117.66","6.69M","-0.87%"
"Jun 17, 2020","119.03","119.86","120.13","118.40","6.72M","-0.52%"
"Jun 16, 2020","119.65","119.80","120.23","118.54","8.40M","1.33%"
"Jun 15, 2020","118.08","118.40","118.68","117.01","10.90M","0.29%"
"Jun 12, 2020","117.74","120.51","120.75","117.06","10.79M","-1.96%"
"Jun 11, 2020","120.09","120.99","122.58","119.48","11.39M","-0.88%"
"Jun 10, 2020","121.16","121.56","122.50","121.13","9.38M","-0.16%"
"Jun 09, 2020","121.35","121.60","122.00","120.56","6.92M","0.09%"
"Jun 08, 2020","121.24","119.58","121.24","119.46","9.45M","-0.26%"
"Jun 05, 2020","121.56","122.57","122.68","119.91","13.11M","-0.45%"
"Jun 04, 2020","122.11","122.80","123.89","121.82","8.00M","-1.10%"
"Jun 03, 2020","123.47","123.90","123.99","122.66","6.75M","-0.38%"
"Jun 02, 2020","123.94","123.59","124.15","122.81","6.40M","-0.02%"
"Jun 01, 2020","123.96","123.44","124.41","122.36","6.86M","-0.08%"
"May 29, 2020","124.06","124.24","124.70","121.93","9.77M","0.30%"
"May 28, 2020","123.69","123.72","124.95","123.16","8.15M","0.99%"
"May 27, 2020","122.48","123.97","124.49","121.03","10.36M","-1.11%"
"May 26, 2020","123.86","124.34","125.51","123.63","7.91M","-0.38%"
"May 22, 2020","124.33","125.10","125.35","123.77","7.45M","-0.53%"
"May 21, 2020","124.99","124.89","126.14","124.25","7.48M","-0.37%"
"May 20, 2020","125.45","126.49","126.59","124.63","10.75M","0.40%"
"May 19, 2020","124.95","131.75","131.99","124.81","24.92M","-2.12%"
"May 18, 2020","127.66","127.50","128.56","126.10","13.04M","1.37%"
"May 15, 2020","125.94","123.47","125.94","123.09","10.59M","2.04%"
"May 14, 2020","123.42","124.85","125.13","121.30","7.41M","-0.23%"
"May 13, 2020","123.71","123.50","126.24","123.09","9.73M","-0.06%"
"May 12, 2020","123.78","124.48","125.66","123.78","6.37M","0.09%"
"May 11, 2020","123.67","123.04","124.31","123.01","8.45M","0.59%"
"May 08, 2020","122.94","122.75","123.01","121.62","6.94M","0.86%"
"May 07, 2020","121.89","123.46","123.98","121.50","9.12M","-1.14%"
"May 06, 2020","123.30","125.21","125.49","122.84","5.77M","-1.15%"
"May 05, 2020","124.73","123.80","125.26","123.26","6.45M","0.83%"
"May 04, 2020","123.70","123.84","124.40","121.71","5.94M","0.63%"
"May 01, 2020","122.92","121.48","123.69","120.78","10.38M","1.13%"
"Apr 30, 2020","121.55","123.08","123.44","121.04","13.50M","-1.66%"
"Apr 29, 2020","123.60","125.57","125.76","122.55","14.87M","-3.44%"
"Apr 28, 2020","128.00","128.28","130.24","127.70","6.91M","-0.23%"
"Apr 27, 2020","128.30","130.00","130.31","128.17","5.97M","-0.88%"
"Apr 24, 2020","129.44","129.35","129.89","128.56","5.78M","0.71%"
"Apr 23, 2020","128.53","129.85","131.09","127.73","9.61M","-2.33%"
"Apr 22, 2020","131.59","130.00","132.38","128.90","6.49M","1.84%"
"Apr 21, 2020","129.21","130.07","131.03","128.16","9.30M","-0.49%"
"Apr 20, 2020","129.85","132.39","133.38","129.76","8.13M","-1.72%"
"Apr 17, 2020","132.12","131.48","132.97","129.72","10.31M","-0.16%"
"Apr 16, 2020","132.33","129.00","132.92","128.25","10.63M","2.77%"
"Apr 15, 2020","128.76","129.00","129.88","127.12","7.48M","-0.19%"
"Apr 14, 2020","129.00","127.10","129.79","126.04","11.37M","2.95%"
"Apr 13, 2020","125.30","121.27","125.67","121.17","8.06M","2.87%"
"Apr 09, 2020","121.80","118.22","122.87","117.66","10.94M","-0.03%"
"Apr 08, 2020","121.84","123.69","123.81","120.59","9.29M","-0.12%"
"Apr 07, 2020","121.99","123.98","126.49","121.64","13.79M","-3.24%"
"Apr 06, 2020","126.07","119.06","126.39","118.94","15.92M","5.52%"
"Apr 03, 2020","119.48","117.21","119.91","117.03","9.54M","0.70%"
"Apr 02, 2020","118.65","113.18","119.11","112.33","9.84M","3.95%"
"Apr 01, 2020","114.14","112.15","115.53","111.80","9.42M","0.46%"
"Mar 31, 2020","113.62","114.31","116.19","112.64","8.76M","-1.36%"
"Mar 30, 2020","115.19","111.86","115.80","110.94","9.74M","5.12%"
"Mar 27, 2020","109.58","110.11","112.28","108.60","12.05M","-0.22%"
"Mar 26, 2020","109.82","109.40","110.87","106.85","19.43M","0.38%"
"Mar 25, 2020","109.40","112.97","114.00","108.05","17.76M","-4.89%"
"Mar 24, 2020","115.03","115.87","117.37","111.31","14.24M","0.66%"
"Mar 23, 2020","114.28","114.17","117.54","112.21","13.12M","0.27%"
"Mar 20, 2020","113.97","119.50","122.79","111.89","18.47M","-4.59%"
"Mar 19, 2020","119.45","124.46","127.00","117.63","19.03M","-2.55%"
"Mar 18, 2020","122.58","115.00","128.08","114.50","25.79M","2.78%"
"Mar 17, 2020","119.26","112.77","119.27","110.46","17.60M","11.71%"
"Mar 16, 2020","106.76","105.20","111.33","102.00","12.25M","-6.43%"
"Mar 13, 2020","114.10","108.24","114.59","103.88","14.32M","9.66%"
"Mar 12, 2020","104.05","106.02","111.49","102.98","18.77M","-9.07%"
"Mar 11, 2020","114.43","117.51","119.03","112.80","10.54M","-4.47%"
"Mar 10, 2020","119.79","118.10","120.68","114.92","12.60M","2.24%"
"Mar 09, 2020","117.16","113.82","120.63","112.73","19.75M","-0.06%"
"Mar 06, 2020","117.23","113.87","117.91","113.01","9.80M","1.13%"
"Mar 05, 2020","115.92","114.40","117.25","113.91","8.55M","-0.73%"
"Mar 04, 2020","116.77","114.24","116.84","113.47","8.21M","3.42%"
"Mar 03, 2020","112.91","116.08","117.53","112.34","11.11M","-2.56%"
"Mar 02, 2020","115.88","107.60","116.40","107.29","17.07M","7.62%"
"Feb 28, 2020","107.68","107.69","108.52","104.37","17.50M","-2.46%"
"Feb 27, 2020","110.40","112.56","114.07","110.35","9.49M","-2.97%"
"Feb 26, 2020","113.78","114.70","115.17","113.65","6.67M","-0.53%"
"Feb 25, 2020","114.39","116.35","117.07","114.05","7.76M","-1.66%"
"Feb 24, 2020","116.32","117.46","118.46","115.95","6.62M","-1.91%"
"Feb 21, 2020","118.58","117.44","118.75","117.31","6.24M","0.76%"
"Feb 20, 2020","117.69","117.21","118.11","116.86","5.02M","0.01%"
"Feb 19, 2020","117.68","119.50","119.94","117.68","7.19M","-1.63%"
"Feb 18, 2020","119.63","118.47","119.95","117.36","11.52M","1.48%"
"Feb 14, 2020","117.89","117.67","118.57","117.16","8.13M","0.38%"
"Feb 13, 2020","117.44","115.85","117.53","115.58","5.33M","1.37%"
"Feb 12, 2020","115.85","115.50","116.42","115.41","4.74M","0.39%"
"Feb 11, 2020","115.40","115.43","115.50","114.44","5.80M","0.13%"
"Feb 10, 2020","115.25","115.75","116.98","115.05","6.14M","-1.03%"
"Feb 07, 2020","116.45","116.11","116.76","115.76","3.69M","0.12%"
"Feb 06, 2020","116.31","116.83","117.23","116.06","5.35M","-0.43%"
"Feb 05, 2020","116.81","115.60","116.95","114.85","5.68M","1.34%"
"Feb 04, 2020","115.27","115.24","116.24","114.89","5.23M","0.88%"
"Feb 03, 2020","114.27","114.90","115.39","114.10","4.35M","-0.19%"
"Jan 31, 2020","114.49","115.80","116.26","113.90","7.78M","-1.79%"
"Jan 30, 2020","116.58","115.61","116.72","115.33","4.58M","0.60%"
"Jan 29, 2020","115.89","116.56","117.12","115.89","3.78M","-0.61%"
"Jan 28, 2020","116.60","115.98","116.90","115.95","5.27M","0.64%"
"Jan 27, 2020","115.86","113.19","116.23","112.68","7.02M","1.30%"
"Jan 24, 2020","114.37","116.00","116.03","114.15","4.38M","-1.24%"
"Jan 23, 2020","115.81","116.21","116.31","115.04","4.31M","-0.25%"
"Jan 22, 2020","116.10","115.22","116.53","115.18","4.93M","0.44%"
"Jan 21, 2020","115.59","114.59","115.69","114.52","7.35M","0.55%"
"Jan 17, 2020","114.96","116.05","116.30","114.64","10.05M","-0.81%"
"Jan 16, 2020","115.90","115.50","115.93","115.28","5.37M","0.54%"
"Jan 15, 2020","115.28","114.63","115.87","114.52","7.45M","-0.77%"
"Jan 14, 2020","116.18","115.47","116.21","115.13","6.59M","0.26%"
"Jan 13, 2020","115.88","116.38","116.55","115.37","6.11M","-0.43%"
"Jan 10, 2020","116.38","117.24","117.34","115.98","6.06M","-0.84%"
"Jan 09, 2020","117.36","116.15","117.37","116.08","5.57M","1.03%"
"Jan 08, 2020","116.16","116.30","116.73","115.68","5.88M","-0.34%"
"Jan 07, 2020","116.56","117.26","117.52","116.20","6.87M","-0.93%"
"Jan 06, 2020","117.65","117.40","118.09","116.77","6.45M","-0.20%"
"Jan 03, 2020","117.89","118.27","118.79","117.59","5.40M","-0.88%"
"Jan 02, 2020","118.94","118.86","119.89","118.70","6.66M","0.08%"
"Dec 31, 2019","118.84","119.50","119.80","118.19","4.92M","-0.47%"
"Dec 30, 2019","119.40","119.80","119.81","119.13","2.95M","-0.16%"
"Dec 27, 2019","119.59","119.94","119.94","119.25","3.55M","0.06%"
"Dec 26, 2019","119.52","119.61","119.85","118.95","4.23M","0.01%"
"Dec 24, 2019","119.51","119.13","119.60","119.01","2.23M","0.40%"
"Dec 23, 2019","119.03","120.20","120.69","119.01","4.49M","-1.05%"
"Dec 20, 2019","120.29","121.48","122.12","120.02","7.95M","0.17%"
"Dec 19, 2019","120.08","119.94","120.50","119.78","4.46M","0.18%"
"Dec 18, 2019","119.86","121.51","121.68","119.84","5.10M","-1.17%"
"Dec 17, 2019","121.28","120.95","121.70","120.70","4.58M","0.61%"
"Dec 16, 2019","120.54","120.42","121.35","120.42","5.35M","0.21%"
"Dec 13, 2019","120.29","119.16","120.65","119.02","5.37M","0.44%"
"Dec 12, 2019","119.76","119.00","120.11","118.68","4.15M","0.64%"
"Dec 11, 2019","119.00","119.40","119.65","118.53","3.51M","-0.12%"
"Dec 10, 2019","119.14","119.35","119.56","119.02","4.28M","-0.18%"
"Dec 09, 2019","119.36","119.57","119.86","119.18","4.84M","-0.35%"
"Dec 06, 2019","119.78","119.08","119.80","118.92","4.34M","0.94%"
"Dec 05, 2019","118.66","118.36","118.78","117.42","4.35M","-0.03%"
"Dec 04, 2019","118.69","119.12","119.20","118.30","5.56M","0.02%"
"Dec 03, 2019","118.67","118.40","118.96","117.77","6.76M","-0.51%"
"Dec 02, 2019","119.28","119.15","119.38","117.84","5.68M","0.16%"
"Nov 29, 2019","119.09","119.14","119.97","119.00","3.16M","0.28%"
"Nov 27, 2019","118.76","119.39","119.80","118.73","3.44M","-0.36%"
"Nov 26, 2019","119.19","118.96","119.30","118.45","6.29M","0.23%"
"Nov 25, 2019","118.92","120.00","120.02","117.90","5.88M","-0.37%"
"Nov 22, 2019","119.36","120.15","120.30","119.27","3.84M","-0.42%"
"Nov 21, 2019","119.86","118.83","120.00","118.67","4.30M","0.61%"
"Nov 20, 2019","119.13","120.21","120.48","118.40","5.08M","-0.63%"
"Nov 19, 2019","119.89","120.11","120.36","119.71","3.72M","-0.30%"
"Nov 18, 2019","120.25","118.45","120.87","118.24","6.55M","1.16%"
"Nov 15, 2019","118.87","120.68","121.00","118.38","10.15M","-1.48%"
"Nov 14, 2019","120.65","124.60","125.38","119.51","22.51M","-0.27%"
"Nov 13, 2019","120.98","119.16","121.36","118.66","8.05M","1.56%"
"Nov 12, 2019","119.12","119.60","120.00","118.81","5.07M","0.07%"
"Nov 11, 2019","119.04","118.70","119.63","118.28","4.44M","-0.33%"
"Nov 08, 2019","119.44","120.31","120.88","118.94","3.83M","-0.66%"
"Nov 07, 2019","120.23","120.00","120.92","119.54","4.44M","0.61%"
"Nov 06, 2019","119.50","118.83","119.62","118.71","3.61M","0.54%"
"Nov 05, 2019","118.86","117.68","119.14","117.08","4.22M","1.10%"
"Nov 04, 2019","117.57","118.40","119.11","117.17","4.65M","-0.04%"
"Nov 01, 2019","117.62","117.92","117.97","117.23","3.76M","0.31%"
"Oct 31, 2019","117.26","117.93","118.28","116.83","4.88M","-0.71%"
"Oct 30, 2019","118.10","117.18","118.37","117.05","3.00M","0.81%"
"Oct 29, 2019","117.15","118.50","118.73","117.08","4.79M","-1.74%"
"Oct 28, 2019","119.22","119.25","119.70","118.53","3.40M","0.15%"
"Oct 25, 2019","119.04","119.00","119.33","118.20","2.56M","-0.05%"
"Oct 24, 2019","119.10","119.15","119.57","118.51","2.92M","-0.21%"
"Oct 23, 2019","119.35","119.17","119.85","118.69","2.87M","-0.19%"
"Oct 22, 2019","119.58","119.75","120.17","119.39","2.60M","-0.13%"
"Oct 21, 2019","119.74","119.30","119.83","118.82","3.47M","0.50%"
"Oct 18, 2019","119.14","120.45","120.60","119.13","5.59M","-0.58%"
"Oct 17, 2019","119.84","119.67","120.25","119.36","3.96M","0.35%"
"Oct 16, 2019","119.42","119.31","120.11","119.10","4.14M","-0.09%"
"Oct 15, 2019","119.53","119.33","119.99","118.87","5.39M","0.30%"
"Oct 14, 2019","119.17","119.85","120.46","119.10","4.60M","-0.89%"
"Oct 11, 2019","120.24","119.92","120.71","118.72","6.15M","0.53%"
"Oct 10, 2019","119.61","118.90","119.88","118.60","4.44M","0.57%"
"Oct 09, 2019","118.93","118.18","119.30","118.02","3.93M","1.15%"
"Oct 08, 2019","117.58","116.81","118.67","116.66","5.55M","0.30%"
"Oct 07, 2019","117.23","118.10","118.30","116.88","4.75M","-0.79%"
"Oct 04, 2019","118.16","116.40","118.30","116.19","4.87M","1.59%"
"Oct 03, 2019","116.31","115.88","116.80","114.58","5.37M","0.16%"
"Oct 02, 2019","116.12","117.40","117.55","115.61","6.01M","-1.47%"
"Oct 01, 2019","117.85","118.85","119.11","117.72","3.74M","-0.70%"
"Sep 30, 2019","118.68","118.67","119.44","118.56","3.60M","0.19%"
"Sep 27, 2019","118.45","119.21","119.23","117.75","3.44M","0.13%"
"Sep 26, 2019","118.30","118.80","119.55","118.19","3.99M","-0.14%"
